ano,media_mundial,media_campinas
1832,7.45,18.94
1833,8.01,19.93
1834,8.15,19.21
1835,7.39,18.62
1836,7.70,18.84
1837,7.38,18.28
1838,7.51,18.72
1839,7.63,18.52
1840,7.80,19.20
1841,7.69,18.89
1842,8.02,19.32
1843,8.17,19.46
1844,7.65,
1845,7.85,
1846,8.55,
1847,8.09,
1848,7.98,
1849,7.98,
1850,7.90,
1851,8.18,19.44
1852,8.10,19.60
1853,8.04,19.61
1854,8.21,19.70
1855,8.11,19.70
1856,8.00,18.79
1857,7.76,19.39
1858,8.10,18.39
1859,8.25,19.05
1860,7.96,19.73
1861,7.85,18.99
1862,7.56,19.01
1863,8.11,18.91
1864,7.98,18.99
1865,8.18,18.95
1866,8.29,19.10
1867,8.44,19.21
1868,8.25,20.16
1869,8.43,20.01
1870,8.20,20.03
1871,8.12,19.65
1872,8.19,19.63
1873,8.35,19.84
1874,8.43,19.07
1875,7.86,18.76
1876,8.08,19.00
1877,8.54,19.83
1878,8.83,20.02
1879,8.17,18.78
1880,8.12,19.73
1881,8.27,19.23
1882,8.13,18.62
1883,7.98,18.93
1884,7.77,18.86
1885,7.92,19.80
1886,7.95,18.93
1887,7.91,19.45
1888,8.09,20.12
1889,8.32,20.03
1890,7.97,19.17
1891,8.02,19.56
1892,8.07,19.17
1893,8.06,18.49
1894,8.16,19.48
1895,8.15,19.43
1896,8.21,19.45
1897,8.29,19.51
1898,8.18,19.54
1899,8.40,20.09
1900,8.50,19.71
1901,8.54,19.15
1902,8.30,19.87
1903,8.22,19.44
1904,8.09,19.02
1905,8.23,19.61
1906,8.38,19.49
1907,7.95,19.18
1908,8.19,19.22
1909,8.18,18.98
1910,8.22,19.15
1911,8.18,19.02
1912,8.17,19.32
1913,8.30,19.72
1914,8.59,20.37
1915,8.59,20.12
1916,8.23,19.53
1917,8.02,18.43
1918,8.13,19.24
1919,8.38,19.88
1920,8.36,19.56
1921,8.57,19.37
1922,8.41,19.85
1923,8.42,19.58
1924,8.51,19.13
1925,8.53,19.52
1926,8.73,19.78
1927,8.52,19.56
1928,8.63,20.08
1929,8.24,19.70
1930,8.63,20.09
1931,8.72,19.35
1932,8.71,20.18
1933,8.34,18.97
1934,8.63,19.87
1935,8.52,19.73
1936,8.55,20.01
1937,8.70,19.50
1938,8.86,19.83
1939,8.76,19.93
1940,8.76,20.35
1941,8.77,20.18
1942,8.73,19.68
1943,8.76,19.63
1944,8.85,19.99
1945,8.58,19.57
1946,8.68,19.91
1947,8.80,19.25
1948,8.75,19.64
1949,8.59,19.40
1950,8.37,19.85
1951,8.63,19.32
1952,8.64,19.91
1953,8.87,19.96
1954,8.56,20.20
1955,8.63,19.55
1956,8.28,19.26
1957,8.73,19.67
1958,8.77,20.33
1959,8.73,20.49
1960,8.58,19.68
1961,8.80,20.57
1962,8.75,19.09
1963,8.86,20.40
1964,8.41,19.25
1965,8.53,20.00
1966,8.60,20.13
1967,8.70,20.16
1968,8.52,19.16
1969,8.60,20.14
1970,8.70,20.06
1971,8.60,19.78
1972,8.50,20.13
1973,8.95,20.21
1974,8.47,19.67
1975,8.74,19.82
1976,8.35,19.48
1977,8.85,20.84
1978,8.69,19.94
1979,8.73,19.68
1980,8.98,20.28
1981,9.17,19.90
1982,8.64,19.95
1983,9.03,20.06
1984,8.69,20.56
1985,8.66,20.07
1986,8.83,20.49
1987,8.99,20.34
1988,9.20,19.93
1989,8.92,19.66
1990,9.23,20.29
1991,9.18,20.13
1992,8.84,20.21
1993,8.87,20.49
1994,9.04,20.77
1995,9.35,20.61
1996,9.04,20.18
1997,9.20,20.77
1998,9.52,20.71
1999,9.29,20.04
2000,9.20,20.32
2001,9.41,20.96
2002,9.57,21.30
2003,9.53,20.76
2004,9.32,20.05
2005,9.70,20.78
2006,9.53,20.60
2007,9.73,20.93
2008,9.43,20.22
2009,9.51,20.78
2010,9.70,20.72
2011,9.52,20.33
2012,9.51,21.02
2013,9.61,20.07
